ID_NR_Corporate_Body,Name_Corporate_Body,Name_Corporate_Bod_Alias,Attribute_Byline_Description,Ort,Geodaten,Ablageort_STS,Kanton,Land,Webadresse,Adresse,Verband,Status,Eckdaten_nicht_STS,fruehere_Namen,spaetere_Namen,Dokumente_VP_V,Dokumente_VP_G,Dokumente_PA_V,Dokumente_PA_G
AC_41455,<Theatergruppe Trachtengruppe und Männerchor Mühlethurnen>,,,Mühlethurnen,,Mühlethurnen: Trachtengruppe und Männerchor Mühlethurnen,BE,CH,x,,x,a,?,,,,,,
AC_41456,Theatergruppe Müllheim,,,Müllheim,,Müllheim,TG,CH,www.thgm.ch,,x,a,1998-,,,,,,
AC_41457,<Theatergruppe Jodlerklub Passwang Mümliswil>,<Theatergruppe JKPM>,,Mümliswil,,Mümliswil: Jodlerklub Passwang Mümliswil,SO,CH,www.jodlerklub-passwang.ch,,x,a,?,,,,,,
AC_41458,Theatergruppe der MG Konkordia,Theatergruppe der Musikgesellschaft Konkordia Mümliswil,,Mümliswil,,Mümliswil,SO,CH,www.konkordia-muemliswil.ch,,x,a,?,,,,,,
AC_41459,Theatergruppe der Trachtengruppe Mümliswil,,,Mümliswil,,Mümliswil,SO,CH,x,,x,a,?,,,,,,
AC_41460,Theatergruppe des Turnvereins Mümliswil,,,Mümliswil,,Mümliswil,SO,CH,www.tvmuemliswil.ch,,x,a,?,,,,,,
AC_41461,Theatergruppe F 60 Plus,,,Münchenbuchsee,,Münchenbuchsee,Be,CH,x,,x,a,?,,,,,,
AC_41462,Theatergruppe Urs Blattner,,,Münchenbuchsee,,Münchenbuchsee,BE,CH,x,,x,na,-2012,,,,,,
AC_41463,<Theatergruppe Gymnasium Münchenstein>,,,Münchenstein,,Münchenstein: Gymnasium Münchenstein <nicht ZSV>,BL,CH,www.gymmuenchenstein.ch,,x,a,?,,,,,6 R <Sammelcouvert>,(1995)-
AC_41464,Freilicht Wiler-Saga,,,Münchenwiler,,Münchenwiler,BE,CH,x,,x,a,?,,,,,,
AC_41465,Theater-Lüüt Seebezirk,,,Münchenwiler,,Münchenwiler,BE,CH,www.theaterlüütseebezirk.ch,,x,a,2012?-,,,,,,
AC_41466,<Theatergruppe Gemischter Turnverein Münchwilen>,,,Münchwilen,,Münchwilen: Gemischter Turnverein Münchwilen,TG,CH,www.gtv-muenchwilen.ch,,x,a,?,,,,,,
AC_41467,Bühne Ostschweiz,Bühne-Ostschweiz,,Münchwilen,,Münchwilen,TG,CH,x,,x,a,?,Dramatischer Verein Münsingen,,,,,
